schema,1
ts_start_ns,ts_end_ns,window_id,sym,buy_qty,sell_qty,buy_notional,sell_notional,buy_trades,sell_trades,buy_vwap,sell_vwap,imbalance,qwait_p50_ns,qwait_p90_ns,qwait_p99_ns,qwait_max_ns,qwait_count,drops_full,drops_oversize,recv_count,parse_errs,partial
6200000000,6300000000,62,NQZ3,89992,111150,2.66665e+07,3.09008e+07,187,209,296.321,278.01,-0.105189,1023,32767,1048575,1476959,4465,0,0,79,0,0
6200000000,6300000000,62,ESZ3,84509,147831,2.71993e+07,4.18402e+07,208,257,321.851,283.027,-0.27254,1023,32767,1048575,1476959,4465,0,0,79,0,0
6200000000,6300000000,62,CLG4,75051,103761,2.33842e+07,3.15288e+07,152,201,311.577,303.86,-0.16056,1023,32767,1048575,1476959,4465,0,0,79,0,0
6200000000,6300000000,62,TSLA,120526,118050,3.54939e+07,3.86713e+07,280,229,294.492,327.584,0.0103782,1023,32767,1048575,1476959,4465,0,0,79,0,0
6200000000,6300000000,62,MSFT,104161,105115,2.98681e+07,3.29988e+07,199,198,286.75,313.93,-0.00455857,1023,32767,1048575,1476959,4465,0,0,79,0,0
6200000000,6300000000,62,GOOG,92923,95742,3.04076e+07,2.38933e+07,177,216,327.235,249.559,-0.0149418,1023,32767,1048575,1476959,4465,0,0,79,0,0
6200000000,6300000000,62,AAPL,110556,128979,3.63338e+07,3.91067e+07,210,285,328.646,303.202,-0.0769115,1023,32767,1048575,1476959,4465,0,0,79,0,0
6200000000,6300000000,62,EUR/USD,112417,152652,3.17829e+07,4.11354e+07,205,271,282.723,269.472,-0.151791,1023,32767,1048575,1476959,4465,0,0,79,0,0
6200000000,6300000000,62,USD/JPY,113939,127274,3.17011e+07,3.79194e+07,224,245,278.229,297.935,-0.0552831,1023,32767,1048575,1476959,4465,0,0,79,0,0
6200000000,6300000000,62,WTI,120240,134615,3.8715e+07,3.9214e+07,272,240,321.981,291.305,-0.0564046,1023,32767,1048575,1476959,4465,0,0,79,0,0
15200000000,15300000000,152,CLG4,116081,103957,3.4326e+07,3.39177e+07,238,189,295.707,326.267,0.0550996,1023,1023,2047,6748,4235,0,0,34,0,0
15200000000,15300000000,152,WTI,132641,129066,3.68847e+07,3.97017e+07,272,217,278.079,307.608,0.0136603,1023,1023,2047,6748,4235,0,0,34,0,0
15200000000,15300000000,152,USD/JPY,85148,116473,2.92723e+07,3.38648e+07,168,238,343.781,290.752,-0.155366,1023,1023,2047,6748,4235,0,0,34,0,0
15200000000,15300000000,152,ESZ3,105182,103376,3.3734e+07,2.86789e+07,245,217,320.72,277.424,0.00865946,1023,1023,2047,6748,4235,0,0,34,0,0
15200000000,15300000000,152,TSLA,91900,107863,2.83172e+07,3.80583e+07,176,245,308.13,352.839,-0.0799097,1023,1023,2047,6748,4235,0,0,34,0,0
15200000000,15300000000,152,MSFT,96537,121590,2.79526e+07,3.85664e+07,210,196,289.553,317.184,-0.114855,1023,1023,2047,6748,4235,0,0,34,0,0
15200000000,15300000000,152,GOOG,84588,114933,2.67252e+07,3.57687e+07,210,196,315.946,311.214,-0.152089,1023,1023,2047,6748,4235,0,0,34,0,0
15200000000,15300000000,152,NQZ3,105231,115864,3.444e+07,3.72822e+07,210,210,327.28,321.776,-0.0480924,1023,1023,2047,6748,4235,0,0,34,0,0
15200000000,15300000000,152,AAPL,79940,79562,2.42948e+07,2.24415e+07,168,182,303.913,282.063,0.00236988,1023,1023,2047,6748,4235,0,0,34,0,0
15200000000,15300000000,152,EUR/USD,127169,95144,3.92116e+07,2.72737e+07,252,196,308.343,286.658,0.144054,1023,1023,2047,6748,4235,0,0,34,0,0
24200000000,24300000000,242,CLG4,18208,20491,4.42122e+06,6.81205e+06,30,40,242.817,332.441,-0.0589938,1023,2047,2047,7302,690,0,0,76,0,0
24200000000,24300000000,242,TSLA,12865,16334,3.70552e+06,4.99213e+06,28,30,288.031,305.628,-0.118805,1023,2047,2047,7302,690,0,0,76,0,0
24200000000,24300000000,242,MSFT,16690,16071,5.241e+06,4.60881e+06,33,25,314.02,286.778,0.0188944,1023,2047,2047,7302,690,0,0,76,0,0
24200000000,24300000000,242,NQZ3,14584,20511,4.41993e+06,5.10427e+06,28,47,303.067,248.855,-0.168884,1023,2047,2047,7302,690,0,0,76,0,0
24200000000,24300000000,242,WTI,18112,15331,5.07685e+06,5.13641e+06,37,38,280.303,335.034,0.0831564,1023,2047,2047,7302,690,0,0,76,0,0
24200000000,24300000000,242,USD/JPY,17837,14173,4.94734e+06,5.1794e+06,39,24,277.364,365.441,0.114464,1023,2047,2047,7302,690,0,0,76,0,0
24200000000,24300000000,242,ESZ3,13885,22763,4.70527e+06,7.55841e+06,25,37,338.875,332.048,-0.242251,1023,2047,2047,7302,690,0,0,76,0,0
24200000000,24300000000,242,EUR/USD,18783,15939,5.17645e+06,4.91291e+06,43,28,275.592,308.232,0.0819077,1023,2047,2047,7302,690,0,0,76,0,0
24200000000,24300000000,242,AAPL,16721,21509,5.6617e+06,7.04283e+06,33,42,338.598,327.437,-0.125242,1023,2047,2047,7302,690,0,0,76,0,0
24200000000,24300000000,242,GOOG,19885,22661,5.07108e+06,6.98324e+06,38,45,255.02,308.161,-0.065247,1023,2047,2047,7302,690,0,0,76,0,0
24300000000,24400000000,243,ESZ3,92998,120471,3.05331e+07,4.05112e+07,178,215,328.32,336.273,-0.128698,1023,1023,2047,8961,3839,0,0,115,0,0
24300000000,24400000000,243,USD/JPY,99406,75266,2.96075e+07,2.33021e+07,199,144,297.844,309.597,0.138202,1023,1023,2047,8961,3839,0,0,115,0,0
24300000000,24400000000,243,WTI,98795,102444,2.9474e+07,3.26479e+07,222,214,298.335,318.691,-0.0181327,1023,1023,2047,8961,3839,0,0,115,0,0
24300000000,24400000000,243,TSLA,66277,89373,1.77733e+07,2.74263e+07,182,166,268.166,306.874,-0.148384,1023,1023,2047,8961,3839,0,0,115,0,0
24300000000,24400000000,243,MSFT,88002,88229,2.7538e+07,2.8066e+07,191,164,312.924,318.104,-0.00128808,1023,1023,2047,8961,3839,0,0,115,0,0
24300000000,24400000000,243,GOOG,93123,99202,2.69576e+07,3.14614e+07,200,221,289.484,317.145,-0.031608,1023,1023,2047,8961,3839,0,0,115,0,0
24300000000,24400000000,243,CLG4,84314,94470,2.42252e+07,2.90461e+07,138,212,287.321,307.464,-0.056806,1023,1023,2047,8961,3839,0,0,115,0,0
24300000000,24400000000,243,NQZ3,94714,116479,2.76625e+07,3.37074e+07,189,240,292.063,289.386,-0.103057,1023,1023,2047,8961,3839,0,0,115,0,0
24300000000,24400000000,243,EUR/USD,73596,81410,1.96074e+07,2.4497e+07,160,189,266.419,300.909,-0.050411,1023,1023,2047,8961,3839,0,0,115,0,0
24300000000,24400000000,243,AAPL,121984,106339,3.7682e+07,3.45195e+07,219,196,308.909,324.618,0.0685213,1023,1023,2047,8961,3839,0,0,115,0,0
33200000000,33300000000,332,ESZ3,131112,176941,4.67036e+07,4.98698e+07,328,343,356.211,281.844,-0.14877,1023,2047,2047,51447,6384,0,0,70,0,0
33200000000,33300000000,332,CLG4,100870,149849,2.93546e+07,4.30001e+07,210,337,291.014,286.956,-0.195354,1023,2047,2047,51447,6384,0,0,70,0,0
33200000000,33300000000,332,TSLA,136315,136643,3.60765e+07,3.91751e+07,263,294,264.655,286.697,-0.00120165,1023,2047,2047,51447,6384,0,0,70,0,0
33200000000,33300000000,332,MSFT,173879,132748,5.60296e+07,4.21716e+07,318,272,322.233,317.681,0.13414,1023,2047,2047,51447,6384,0,0,70,0,0
33200000000,33300000000,332,AAPL,172387,183810,5.10452e+07,5.61248e+07,387,349,296.108,305.342,-0.0320693,1023,2047,2047,51447,6384,0,0,70,0,0
33200000000,33300000000,332,EUR/USD,181396,116310,5.61824e+07,3.62398e+07,341,231,309.722,311.579,0.218625,1023,2047,2047,51447,6384,0,0,70,0,0
33200000000,33300000000,332,USD/JPY,155438,123720,4.25269e+07,3.54283e+07,273,293,273.594,286.359,0.11362,1023,2047,2047,51447,6384,0,0,70,0,0
33200000000,33300000000,332,WTI,156793,211205,4.99464e+07,5.91193e+07,321,388,318.55,279.914,-0.147859,1023,2047,2047,51447,6384,0,0,70,0,0
33200000000,33300000000,332,GOOG,163420,184349,4.71032e+07,5.54848e+07,320,365,288.234,300.977,-0.0601808,1023,2047,2047,51447,6384,0,0,70,0,0
33200000000,33300000000,332,NQZ3,197214,195225,5.90945e+07,5.96592e+07,405,346,299.647,305.592,0.0050683,1023,2047,2047,51447,6384,0,0,70,0,0
33300000000,33400000000,333,TSLA,16740,11274,4.79059e+06,3.7177e+06,38,21,286.176,329.759,0.195117,1023,2047,2047,38682,633,0,0,100,0,0
33300000000,33400000000,333,MSFT,12503,9191,3.80486e+06,2.86728e+06,25,22,304.316,311.966,0.152669,1023,2047,2047,38682,633,0,0,100,0,0
33300000000,33400000000,333,ESZ3,15090,23742,5.54258e+06,6.17814e+06,36,42,367.301,260.22,-0.222806,1023,2047,2047,38682,633,0,0,100,0,0
33300000000,33400000000,333,CLG4,11865,15841,3.23628e+06,4.23675e+06,28,41,272.759,267.455,-0.143507,1023,2047,2047,38682,633,0,0,100,0,0
33300000000,33400000000,333,AAPL,19840,19883,5.60879e+06,5.79808e+06,47,36,282.701,291.61,-0.0010825,1023,2047,2047,38682,633,0,0,100,0,0
33300000000,33400000000,333,EUR/USD,22885,11944,7.70058e+06,3.96667e+06,37,21,336.49,332.106,0.314135,1023,2047,2047,38682,633,0,0,100,0,0
33300000000,33400000000,333,USD/JPY,12058,10204,3.44134e+06,2.64342e+06,21,29,285.399,259.057,0.0832809,1023,2047,2047,38682,633,0,0,100,0,0
33300000000,33400000000,333,WTI,14252,18073,4.86326e+06,4.86329e+06,29,32,341.234,269.092,-0.118206,1023,2047,2047,38682,633,0,0,100,0,0
33300000000,33400000000,333,NQZ3,20423,13858,5.73807e+06,3.82351e+06,43,25,280.961,275.906,0.191505,1023,2047,2047,38682,633,0,0,100,0,0
33300000000,33400000000,333,GOOG,12035,19456,2.99204e+06,5.30479e+06,26,34,248.611,272.656,-0.235655,1023,2047,2047,38682,633,0,0,100,0,0
42200000000,42300000000,422,GOOG,66738,69844,2.17926e+07,2.0184e+07,143,125,326.54,288.987,-0.0227409,1023,2047,2047,43801,2260,0,0,30,0,0
42200000000,42300000000,422,CLG4,72726,72981,2.25934e+07,2.18561e+07,128,144,310.664,299.476,-0.00175009,1023,2047,2047,43801,2260,0,0,30,0,0
